S.NO,University Name,State,District,College description,College Link,Location Link,12th Percentage,Entrance Percentage,Ranking,Stream Rank,OUTPUT
64,"Indian Institute of Technology, Bombay",Maharashtra,Mumbai,"Established in 1958, IIT Bombay currently ranked 3rd in engineering colleges under latest NIRF 2022 rankings. IIT Bombay offers admission to all courses through various national level entrance examinations for e.g. admission in B.Tech is done through JEE Advanced, for M.Tech candidates required GATE score, M.Des through CEED, M.Sc through JAM. ",https://www.iitb.ac.in/,https://goo.gl/maps/kbKqj6Z9bfGnERS39,60,50,80,4,YES
65,Maharaja Sayajirao University of Baroda,Gujarat,Baroda,"Maharaja Sayajirao University of Baroda is a private university . The university is recognized by UGC and has been accredited with an 'A' grade by the NAAC. It offers a plethora of UG, PG, and Doctoral courses in various faculties that include Engineering & Technology, Science, Arts, Commerce, Fine Arts, Law, Family & Community Services, Education & Psychology, Pharmacy, Journalism, Social Work, Management Studies, & Performing Arts.",https://www.msubaroda.ac.in/,https://g.page/TheMSUB?share,40,50,90,5,YES
66,Vellore Institute of Technology,Tamil Nadu,Vellore,"VIT admits bachelor students through its own engineering entrance exam, called the Vellore Institute of Technology Engineering Entrance Examination (VITEEE).It is conducted every year in the month of April and May. The exam has been conducted online since 2013 and in 2022, 212,000 students have registered. VITEEE 2022 was held on 30'th June - 6'th July 2022",https://vit.ac.in/,https://goo.gl/maps/hgQD3vdarwFDZP1eA,55,55,9,6,YES
67,Christ University, Karnataka,Bengaluru,"Christ University offers UG, PG, and Ph.D. programs through all five campuses. The university is quite popular for its B.Tech, and MBA programs. Every year more than 25000 students enroll in Christ University. Students aspiring to get admission into B.Tech should appear for the COMEDK exam. For those applying for Christ University MBA admission, appearing for the national-level management exams is a must. Christ University conducts the CUET entrance test for most of its UG and PG courses.",https://christuniversity.in/,https://goo.gl/maps/kN6GTxWdqatbPvYv7,55,40,71,7,YES
68,Jadavpur University,West Bengal,Kolkata,"Jadavpur University is a public technical university located in Jadavpur, Kolkata. Jadavpur University has been ranked 4th among top universities in India by NIRF 2022. Jadavpur University offers several courses under UG, PG & Doctoral curriculum. The courses are offered in the areas of Arts, Science, Education along with professional domains such as Architecture, Engineering, Pharmacy etc. ",http://www.jaduniv.edu.in/,https://goo.gl/maps/dLSJoT2jB61XXBUZA,45,60,4,8,YES
69, Lovely Professional University,Punjab,Phagwara,"LPU is a private university ranked 47th by NIRF in the Indian Universities ranking. LPU admission 2022 is currently ongoing. Admissions will be done through LPUNEST entrance exam. LPUNEST 2022 registrations are open till October 31, 2022. The exam is scheduled to be conducted from October 4 to 18, 2022. Also, LPU PhD registration is ongoing. As per the reports of LPU Placement 2021-22, a B.Tech student got placed at Google India with an INR 64.50 lakh package.",https://www.lpu.in/,https://g.page/LPUUniversity?share,60,55,47,9,YES
70,Delhi Technological University,Delhi,New Delhi,"DTU is ranked 2nd and 36th amongst Best Technological Universities across the country as per Times Engineering Survey and NIRF respectively. As the name suggests, DTU Courses generally comprise of the programs offered in the field of Engineering and Management. These programs are offered at the undergraduate, postgraduate, and doctorate levels. The admission procedure of these programs depends on entrance examination conducted at the national level such as JEE Main and GATE.",http://www.dtu.ac.in/,https://goo.gl/maps/VHMGgd3YwdPJitHD8,60,60,36,10,YES
71,Indian Institute of Technology,Tamil Nadu,Chennai,"IIT Madras has 17 departments, 14 research centres, and a Continuing Education Programs Centre (CEP). All of the centres offer 121 courses in Engineering, Science, Humanities, and Management. IIT Madras has signed MOUs with a number of foreign universities for student exchange programs. As per the MoUs signed, students pursuing UG, PG, and Dual Degree programs at the institute spend a semester abroad for broad exposure. In addition, the institute also offers Joint Doctoral Programs (JDPs) in collaboration with 17 foreign universities.",https://www.iitm.ac.in/,https://goo.gl/maps/tTP18Yfb5XZeY1wr9,55,55,153,11,YES
72,Guru Gobind Singh Indraprastha University,Delhi,New Delhi,"Guru Gobind Singh Indraprastha University (GGSIPU), popularly known as IP University or IPU is ranked 77 among the top universities in India by NIRF 2022. IPU is approved by the UGC and accredited with an ‘A’ grade by the NAAC. IP University offers numerous courses at UG, PG & Research-based curriculum. Professional courses are in high demand & popular among the students.",http://www.ipu.ac.in/,https://goo.gl/maps/YknYxUsX6m2MAXRXA,60,50,95,12,YES
73,REVA University,Karnataka,Bangalore,"Reva University currently offers 55 Undergraduate Programmes, 28 full-time & 2 Part-time Postgraduate Programmes, 17 Ph.D. Programmes in Engineering, Architecture, Science and Technology, Commerce, Management Studies Law, Arts & Humanities, and Performing Arts. B.Tech is the most popular program of Reva University and admissions to the same are done on the basis of scores in REVA CET/KCET/COMED-K/Uni-GAUGE.",https://www.reva.edu.in/,https://goo.gl/maps/wW8DzUoECBTwBGJ79,45,50,151,13,YES
74,"Indian Institute of Science, Bangalore",Karnataka,Bengaluru,"IISc Bangalore is known for the research courses and has been ranked at 155th position in QS world rankings. Most Popular course is Bachelor of Science (Research). Admission will be based on JEE advanced, JEE Main NEET and KVPY scores. Institute conducts its own counselling. Institute also offers M.Tech, M.Sc (Research), M.Des and MMS at the PG level.",https://iisc.ac.in/,https://goo.gl/maps/GK9gUja8pnfSpFYL7,50,70,94,14,YES
75,"Institute of Chemical Technology, Mumbai",Maharashtra,Mumbai,"Institute of Chemical Technology, Mumbai (ICT Mumbai) previously known as the University Department of Chemical Technology (UDCT) was established in 1933 with the support of multiple industries. In the recent rankings of 2022, ICT Mumbai has been placed at the 7th position among the NIRF Pharmacy Category and has been ranked at the 155th rank in the QS Asia University Rankings 2021.",https://www.ictmumbai.edu.in/,https://goo.gl/maps/Y6rD7yit6Kc7dH189,55,66,14,15,YES
76,Chandigarh University,Punjab,Mohali,Chandigarh University is a private university offering 200+ courses. The university is ranked 48th by NIRF 2022 in the Indian Universities ranking. Chandigarh University admission 2022-23 is now open for various UG and PG courses. Aspirants are required to appear for the Chandigrah University Common University Test (CUCET). The last date to apply for CUCET Phase 2 is October 8. Candidates can apply online on the university’s official website - cucet.cuchd.in. ,https://www.cuchd.in/,https://g.page/ChandigarhUni?share,50,55,29,16,YES
77,National Institute of Technology Tiruchirappalli,Tamil Nadu,Tiruchirappalli,"NIT Trichy is an autonomous technological institute established by the Govt of India. Since 2017, the institute has secured its first place among all other NITs in the NIRF rankings. For the year 2022, NIRF has placed NIT Trichy at 21 in Overall, 23 in Research, 8 in Engineering, 39 in Management, and 5 in the Architecture category. NIT Trichy admission 2022 is ongoing for the B.Tech program.",https://www.nitt.edu/,https://goo.gl/maps/xGuvi67j5KbLyTU46,75,65,47,17,YES
78,"Indian Institute of Technology,Delhi",Delhi,New Delhi,"IIT Delhi ranks 4th in the Overall, 3rd in Research, 2nd in Engineering, and 4th in Management list of NIRF ranking 2022. In the QS World University Rankings 2023, IIT Delhi secured 174th position. IIT Delhi admission 2022 is currently ongoing for the B.Tech program. JoSAA 2022 round 6 seat allotment result is out now. Candidates can check the seat allotment results online by visiting the official website - josaa.admissions.nic.in. ",https://home.iitd.ac.in/,https://goo.gl/maps/3gPFUWx7fp2A99fP6,60,75,160,18,YES
79,Sathyabama Institute of Science and Technology,Tamil Nadu,Chennai,"Sathyabama Institute of Science and Technology, Chennai is a Christian Minority Institution established in 1987. It is a deemed-to-be University accredited with Grade ‘A’ by National Assessment and Accreditation Council (NAAC). Sathyabama Institute of Science and Technology offers various Undergraduate, Postgraduate and Doctoral Programs in the field of Engineering, Architecture, Dental, Arts, Commerce, and Science.",https://www.sathyabama.ac.in/,https://goo.gl/maps/QuVeBJuw7TNTMuQB7,45,45,43,19,YES
80,Techno India University,West Bengal,Kolkata,"Techno India University (TIU), Kolkata was established in 2002 by Techno India Group. It is a Private University in Kolkata. It is located in Sector 5, Bidhannagar Salt Lake in Kolkata. The college is affiliated to WBUT (West Bengal University of Technology), approved by the AICTE, New Delhi, and Accredited by the NBA. It is a Business school in West Bengal. ",https://www.technoindiauniversity.ac.in/,https://g.page/tiuwestbengal?share,60,60,109,20,YES
81,Indira Gandhi National Open University,Delhi,New Delhi,Indira Gandhi National Open University (IGNOU) New Delhi was established in 1985. IGNOU New Delhi is a government-owned co-ed university. IGNOU New Delhi has been recognized by the University Grants Commission (UGC). The university has been accredited by NAAC and it has received an ‘A++’ grade. IGNOU New Delhi has more than 100 faculty members and the student enrollment is more than 15 lakhs. ,http://ignou.ac.in/,https://goo.gl/maps/SfsYq66L9xvvDFsbA,55,55,71,1,YES
82,Jamia Millia Islamia,Delhi,New Delhi,"Jamia Millia Islamia (JMI) is a central university located in New Delhi, India. As per the latest NIRF Ranking 2022, the university ranks 3rd among the top universities in India. Jamia Millia Islamia admission 2022 is now open for UG courses. Candidates who have appeared in the CUET UG examination can apply online on the university’s official website - jmi.ac.in.",https://www.jmi.ac.in/,https://goo.gl/maps/NCaytJGjbrEMc3WU8,50,50,3,2,YES
83,SRM Institute of Science and Technology,Tamil Nadu,Chennai,"SRM Institute of Science and Technology (SRM IST), formerly known as SRM University, is one of the top-ranking universities in India with over 20,000 students and more than 2600 faculty across all the campus. It offers a wide range of undergraduate, postgraduate and doctoral programs in Engineering, Management, Medicine, Health Sciences, Science and Humanities.",https://www.srmist.edu.in/,https://goo.gl/maps/z7BsZBg1coy96UdJ8,50,60,19,3,YES
84,"Indian Institute of Technology, Bombay",Maharashtra,Mumbai,"Established in 1958, IIT Bombay currently ranked 3rd in engineering colleges under latest NIRF 2022 rankings. IIT Bombay offers admission to all courses through various national level entrance examinations for e.g. admission in B.Tech is done through JEE Advanced, for M.Tech candidates required GATE score, M.Des through CEED, M.Sc through JAM. ",https://www.iitb.ac.in/,https://goo.gl/maps/kbKqj6Z9bfGnERS39,60,50,80,4,YES
85,Maharaja Sayajirao University of Baroda,Gujarat,Baroda,"Maharaja Sayajirao University of Baroda is a private university . The university is recognized by UGC and has been accredited with an 'A' grade by the NAAC. It offers a plethora of UG, PG, and Doctoral courses in various faculties that include Engineering & Technology, Science, Arts, Commerce, Fine Arts, Law, Family & Community Services, Education & Psychology, Pharmacy, Journalism, Social Work, Management Studies, & Performing Arts.",https://www.msubaroda.ac.in/,https://g.page/TheMSUB?share,40,50,90,5,YES
86,Vellore Institute of Technology,Tamil Nadu,Vellore,"VIT admits bachelor students through its own engineering entrance exam, called the Vellore Institute of Technology Engineering Entrance Examination (VITEEE).It is conducted every year in the month of April and May. The exam has been conducted online since 2013 and in 2022, 212,000 students have registered. VITEEE 2022 was held on 30'th June - 6'th July 2022",https://vit.ac.in/,https://goo.gl/maps/hgQD3vdarwFDZP1eA,55,55,9,6,YES
87,Christ University, Karnataka,Bengaluru,"Christ University offers UG, PG, and Ph.D. programs through all five campuses. The university is quite popular for its B.Tech, and MBA programs. Every year more than 25000 students enroll in Christ University. Students aspiring to get admission into B.Tech should appear for the COMEDK exam. For those applying for Christ University MBA admission, appearing for the national-level management exams is a must. Christ University conducts the CUET entrance test for most of its UG and PG courses.",https://christuniversity.in/,https://goo.gl/maps/kN6GTxWdqatbPvYv7,55,40,71,7,YES
88,Jadavpur University,West Bengal,Kolkata,"Jadavpur University is a public technical university located in Jadavpur, Kolkata. Jadavpur University has been ranked 4th among top universities in India by NIRF 2022. Jadavpur University offers several courses under UG, PG & Doctoral curriculum. The courses are offered in the areas of Arts, Science, Education along with professional domains such as Architecture, Engineering, Pharmacy etc. ",http://www.jaduniv.edu.in/,https://goo.gl/maps/dLSJoT2jB61XXBUZA,45,60,4,8,YES
89, Lovely Professional University,Punjab,Phagwara,"LPU is a private university ranked 47th by NIRF in the Indian Universities ranking. LPU admission 2022 is currently ongoing. Admissions will be done through LPUNEST entrance exam. LPUNEST 2022 registrations are open till October 31, 2022. The exam is scheduled to be conducted from October 4 to 18, 2022. Also, LPU PhD registration is ongoing. As per the reports of LPU Placement 2021-22, a B.Tech student got placed at Google India with an INR 64.50 lakh package.",https://www.lpu.in/,https://g.page/LPUUniversity?share,60,55,47,9,YES
90,Delhi Technological University,Delhi,New Delhi,"DTU is ranked 2nd and 36th amongst Best Technological Universities across the country as per Times Engineering Survey and NIRF respectively. As the name suggests, DTU Courses generally comprise of the programs offered in the field of Engineering and Management. These programs are offered at the undergraduate, postgraduate, and doctorate levels. The admission procedure of these programs depends on entrance examination conducted at the national level such as JEE Main and GATE.",http://www.dtu.ac.in/,https://goo.gl/maps/VHMGgd3YwdPJitHD8,60,60,36,10,YES
91,"Indian Institute of Technology, Madras",Tamil Nadu,Chennai,"IIT Madras has 17 departments, 14 research centres, and a Continuing Education Programs Centre (CEP). All of the centres offer 121 courses in Engineering, Science, Humanities, and Management. IIT Madras has signed MOUs with a number of foreign universities for student exchange programs. As per the MoUs signed, students pursuing UG, PG, and Dual Degree programs at the institute spend a semester abroad for broad exposure.",https://www.iitm.ac.in/,https://goo.gl/maps/73bHL5Q8RQS8yt5v9,55,55,153,11,YES
92,Savitribai Phule Pune University,Maharashtra,Pune,"Savitribai Phule Pune University (SPPU), also known as UniPune, is one of the premier universities in India. It is approved by the UGC and accredited by NAAC with an ‘A’ grade. The university is popularly known as the 'Oxford of the East'. UniPune has been ranked 12th among top universities in India by NIRF 2022. It has over 700 affiliated colleges, 46 academic departments, and 52 research centres.",http://www.unipune.ac.in/,https://goo.gl/maps/QoBB86cSLfgA5gei7,55,55,12,12,YES
93,Guru Gobind Singh Indraprastha University,Delhi,New Delhi,"Guru Gobind Singh Indraprastha University (GGSIPU), popularly known as IP University or IPU is ranked 77 among the top universities in India by NIRF 2022. IPU is approved by the UGC and accredited with an ‘A’ grade by the NAAC. IP University offers numerous courses at UG, PG & Research-based curriculum. Professional courses are in high demand & popular among the students.",http://www.ipu.ac.in/,https://goo.gl/maps/YknYxUsX6m2MAXRXA,60,50,95,13,YES
94,REVA University,Karnataka,Bangalore,"Reva University currently offers 55 Undergraduate Programmes, 28 full-time & 2 Part-time Postgraduate Programmes, 17 Ph.D. Programmes in Engineering, Architecture, Science and Technology, Commerce, Management Studies Law, Arts & Humanities, and Performing Arts. B.Tech is the most popular program of Reva University and admissions to the same are done on the basis of scores in REVA CET/KCET/COMED-K/Uni-GAUGE.",https://www.reva.edu.in/,https://goo.gl/maps/wW8DzUoECBTwBGJ79,45,50,151,14,YES
95,"Indian Institute of Science, Bangalore",Karnataka,Bengaluru,"IISc Bangalore is known for the research courses and has been ranked at 155th position in QS world rankings. Most Popular course is Bachelor of Science (Research). Admission will be based on JEE advanced, JEE Main NEET and KVPY scores. Institute conducts its own counselling. Institute also offers M.Tech, M.Sc (Research), M.Des and MMS at the PG level.",https://iisc.ac.in/,https://goo.gl/maps/GK9gUja8pnfSpFYL7,50,70,94,15,YES
96,"Institute of Chemical Technology, Mumbai",Maharashtra,Mumbai,"Institute of Chemical Technology, Mumbai (ICT Mumbai) previously known as the University Department of Chemical Technology (UDCT) was established in 1933 with the support of multiple industries. In the recent rankings of 2022, ICT Mumbai has been placed at the 7th position among the NIRF Pharmacy Category and has been ranked at the 155th rank in the QS Asia University Rankings 2021.",https://www.ictmumbai.edu.in/,https://goo.gl/maps/Y6rD7yit6Kc7dH189,55,66,14,16,YES
97,Chandigarh University,Punjab,Mohali,Chandigarh University is a private university offering 200+ courses. The university is ranked 48th by NIRF 2022 in the Indian Universities ranking. Chandigarh University admission 2022-23 is now open for various UG and PG courses. Aspirants are required to appear for the Chandigrah University Common University Test (CUCET). The last date to apply for CUCET Phase 2 is October 8. Candidates can apply online on the university’s official website - cucet.cuchd.in. ,https://www.cuchd.in/,https://g.page/ChandigarhUni?share,50,55,29,17,YES
98,National Institute of Technology Tiruchirappalli,Tamil Nadu,Tiruchirappalli,"NIT Trichy is an autonomous technological institute established by the Govt of India. Since 2017, the institute has secured its first place among all other NITs in the NIRF rankings. For the year 2022, NIRF has placed NIT Trichy at 21 in Overall, 23 in Research, 8 in Engineering, 39 in Management, and 5 in the Architecture category. NIT Trichy admission 2022 is ongoing for the B.Tech program.",https://www.nitt.edu/,https://goo.gl/maps/xGuvi67j5KbLyTU46,75,65,47,18,YES
99,"Indian Institute of Technology,Delhi",Delhi,New Delhi,"IIT Delhi ranks 4th in the Overall, 3rd in Research, 2nd in Engineering, and 4th in Management list of NIRF ranking 2022. In the QS World University Rankings 2023, IIT Delhi secured 174th position. IIT Delhi admission 2022 is currently ongoing for the B.Tech program. JoSAA 2022 round 6 seat allotment result is out now. Candidates can check the seat allotment results online by visiting the official website - josaa.admissions.nic.in. ",https://home.iitd.ac.in/,https://goo.gl/maps/3gPFUWx7fp2A99fP6,60,75,160,19,YES
100,Sathyabama Institute of Science and Technology,Tamil Nadu,Chennai,"Sathyabama Institute of Science and Technology, Chennai is a Christian Minority Institution established in 1987. It is a deemed-to-be University accredited with Grade ‘A’ by National Assessment and Accreditation Council (NAAC). Sathyabama Institute of Science and Technology offers various Undergraduate, Postgraduate and Doctoral Programs in the field of Engineering, Architecture, Dental, Arts, Commerce, and Science.",https://www.sathyabama.ac.in/,https://goo.gl/maps/QuVeBJuw7TNTMuQB7,45,45,43,20,YES
101,Indira Gandhi National Open University,Delhi,New Delhi,Indira Gandhi National Open University (IGNOU) New Delhi was established in 1985. IGNOU New Delhi is a government-owned co-ed university. IGNOU New Delhi has been recognized by the University Grants Commission (UGC). The university has been accredited by NAAC and it has received an ‘A++’ grade. IGNOU New Delhi has more than 100 faculty members and the student enrollment is more than 15 lakhs. ,http://ignou.ac.in/,https://goo.gl/maps/SfsYq66L9xvvDFsbA,45,55,71,1,NO
102,Jamia Millia Islamia,Delhi,New Delhi,"Jamia Millia Islamia (JMI) is a central university located in New Delhi, India. As per the latest NIRF Ranking 2022, the university ranks 3rd among the top universities in India. Jamia Millia Islamia admission 2022 is now open for UG courses. Candidates who have appeared in the CUET UG examination can apply online on the university’s official website - jmi.ac.in.",https://www.jmi.ac.in/,https://goo.gl/maps/NCaytJGjbrEMc3WU8,47,50,3,2,NO
103,SRM Institute of Science and Technology,Tamil Nadu,Chennai,"SRM Institute of Science and Technology (SRM IST), formerly known as SRM University, is one of the top-ranking universities in India with over 20,000 students and more than 2600 faculty across all the campus. It offers a wide range of undergraduate, postgraduate and doctoral programs in Engineering, Management, Medicine, Health Sciences, Science and Humanities.",https://www.srmist.edu.in/,https://goo.gl/maps/z7BsZBg1coy96UdJ8,45,60,19,3,NO
104,Maharaja Sayajirao University of Baroda,Gujarat,Baroda,"Maharaja Sayajirao University of Baroda is a private university . The university is recognized by UGC and has been accredited with an 'A' grade by the NAAC. It offers a plethora of UG, PG, and Doctoral courses in various faculties that include Engineering & Technology, Science, Arts, Commerce, Fine Arts, Law, Family & Community Services, Education & Psychology, Pharmacy, Journalism, Social Work, Management Studies, & Performing Arts.",https://www.msubaroda.ac.in/,https://g.page/TheMSUB?share,35,50,90,4,NO
105,Vellore Institute of Technology,Tamil Nadu,Vellore,"VIT admits bachelor students through its own engineering entrance exam, called the Vellore Institute of Technology Engineering Entrance Examination (VITEEE).It is conducted every year in the month of April and May. The exam has been conducted online since 2013 and in 2022, 212,000 students have registered. VITEEE 2022 was held on 30'th June - 6'th July 2022",https://vit.ac.in/,https://goo.gl/maps/hgQD3vdarwFDZP1eA,48,55,9,5,NO
106,Christ University, Karnataka,Bengaluru,"Christ University offers UG, PG, and Ph.D. programs through all five campuses. The university is quite popular for its B.Tech, and MBA programs. Every year more than 25000 students enroll in Christ University. Students aspiring to get admission into B.Tech should appear for the COMEDK exam. For those applying for Christ University MBA admission, appearing for the national-level management exams is a must. Christ University conducts the CUET entrance test for most of its UG and PG courses.",https://christuniversity.in/,https://goo.gl/maps/kN6GTxWdqatbPvYv7,50,40,71,6,NO
107, Lovely Professional University,Punjab,Phagwara,"LPU is a private university ranked 47th by NIRF in the Indian Universities ranking. LPU admission 2022 is currently ongoing. Admissions will be done through LPUNEST entrance exam. LPUNEST 2022 registrations are open till October 31, 2022. The exam is scheduled to be conducted from October 4 to 18, 2022. Also, LPU PhD registration is ongoing. As per the reports of LPU Placement 2021-22, a B.Tech student got placed at Google India with an INR 64.50 lakh package.",https://www.lpu.in/,https://g.page/LPUUniversity?share,56,55,47,7,NO
108,Banaras Hindu University,Uttar Pradesh,Varanasi,"BHU is a collegiate, central, and research university located in Varanasi, Uttar Pradesh, As per the latest NIRF Ranking 2022, the university ranks 6th among the top universities in India. BHU has released the first cutoff for admission to UG courses. Candidates can check the same on the university’s official website - bhuonline.in. Further, BHU admission 2022 is now open for PG courses. The last date to apply for admission is October 25. Candidates who have appeared in the CUET PG entrance examination can apply online on the official website. ",https://www.bhu.ac.in/,https://goo.gl/maps/Rakq5Nzp9nYeBRJs8,43,60,6,8,NO
109,University of Delhi,Delhi,Delhi,"Delhi University (DU) has released the list of vacant seats for CSAS round 2 allocation. Candidates can check the same on Delhi University’s official website - admission.uod.ac.in. Delhi University will release the 2nd merit list for UG admissions on October 30. Further, Delhi University has released the first cutoff list for NCWEB admission 2022. Candidates who have applied for admission can check NCWEB BA and B.Com first cutoff list on the official website. ",http://www.du.ac.in/,https://goo.gl/maps/FRukDt7VQXdQfUJcA,40,45,13,9,NO
110,Savitribai Phule Pune University,Maharashtra,Pune,"Savitribai Phule Pune University (SPPU), also known as UniPune, is one of the premier universities in India. It is approved by the UGC and accredited by NAAC with an ‘A’ grade. The university is popularly known as the 'Oxford of the East'. UniPune has been ranked 12th among top universities in India by NIRF 2022. It has over 700 affiliated colleges, 46 academic departments, and 52 research centres.",http://www.unipune.ac.in/,https://goo.gl/maps/QoBB86cSLfgA5gei7,53,55,12,10,NO
111,Jamia Hamdard, New Delh,Delhi,Jamia Hamdard University became a university in 1989 with the endorsement of the University Grants Commission (UGC). Jamia Hamdard is one of the top colleges in India. It was accredited in ‘A’ grade by NAAC and was ranked No. 1 for Pharmaceutical studies.,http://jamiahamdard.edu/,https://goo.gl/maps/z6S684pksuWb4vFs5,46,50,46,11,NO
112,Chandigarh University,Punjab,Mohali,Chandigarh University is a private university offering 200+ courses. The university is ranked 48th by NIRF 2022 in the Indian Universities ranking. Chandigarh University admission 2022-23 is now open for various UG and PG courses. Aspirants are required to appear for the Chandigrah University Common University Test (CUCET). The last date to apply for CUCET Phase 2 is October 8. Candidates can apply online on the university’s official website - cucet.cuchd.in. ,https://www.cuchd.in/,https://g.page/ChandigarhUni?share,45,55,29,12,NO
113,National Institute of Technology Tiruchirappalli,Tamil Nadu,Tiruchirappalli,"NIT Trichy is an autonomous technological institute established by the Govt of India. Since 2017, the institute has secured its first place among all other NITs in the NIRF rankings. For the year 2022, NIRF has placed NIT Trichy at 21 in Overall, 23 in Research, 8 in Engineering, 39 in Management, and 5 in the Architecture category. NIT Trichy admission 2022 is ongoing for the B.Tech program. ",https://www.nitt.edu/,https://goo.gl/maps/jCdSeTTq88JgF1HJ8,70,65,47,13,NO
114,Aligarh Muslim University,Uttar Pradesh,Aligarh,"Aligarh Muslim University (AMU) is one of India's largest central universities with an enrollment of more than 37327 students. The university welcomes students from all states in India and from different countries, especially Africa, West Asia, and Southeast Asia. AMU has now 13 faculties comprising 117 teaching departments, 3 academies, and 21 centres and institutes. ",https://www.amu.ac.in/,https://goo.gl/maps/bSXzBBmonzYchKdt9,51,80,11,14,NO
115,University of Hyderabad,Telangana,Hyderabad,"University of Hyderabad is a central university established in the year 1974. The university has been approved by UGC and accredited by NAAC. Hyderabad University provides postgraduate and doctorate level courses across different streams of engineering, management, science and technology etc. Admissions to these courses are based on written tests and entrance exams.",https://uohyd.ac.in/,https://g.page/hyderabad-central-university-hcu?share,56,60,10,15,NO
116,Sathyabama Institute of Science and Technology,Tamil Nadu,Chennai,"Sathyabama Institute of Science and Technology, Chennai is a Christian Minority Institution established in 1987. It is a deemed-to-be University accredited with Grade ‘A’ by National Assessment and Accreditation Council (NAAC). Sathyabama Institute of Science and Technology offers various Undergraduate, Postgraduate and Doctoral Programs in the field of Engineering, Architecture, Dental, Arts, Commerce, and Science.",https://www.sathyabama.ac.in/,https://goo.gl/maps/QuVeBJuw7TNTMuQB7,40,45,43,16,NO
117,Yashwantrao Chavan Maharashtra Open University,Maharashtra,Sawargaon,"YCMOU is a state-level open university located in Nashik, Maharashtra. YCMOU admission 2022 is now open for its UG and PG courses. The last date to submit the application is September 30, 2022. Also, applications for YCMOU MBA admission 2022 are open till October 27. Candidates seeking admission at YCMOU can apply online on the official website of the university.",https://www.ycmou.ac.in/,https://goo.gl/maps/Dc2hzzR24nu5fjWg6,40,40,93,17,NO
118,Dr MGR Educational and Research Institute,Tamil Nadu,Chennai,"With an aim of overcoming the 21st century’s challenges with the help of education and technology, has laid certain objectives to impact a competency based education and training, to equip students with the latest trends of knowledge, to have an industry-institution interface, to promote the inter-cultural exchanges by bringing together students from different parts of the India through provided various different resources which are necessary to fulfil their needs and dreams.",https://www.drmgrdu.ac.in/,https://goo.gl/maps/tYMpvFVbBPnggCuy7,49,60,25,18,NO
119,NIMS University,Rajasthan,Chitanukalan,NIMS University Jaipur is one of the “Best Private University of the year 2018” according to  ASSOCHAM India. It is also given the title of “Best Private University for Skill Development” by the same organization. AICTE in the year 2017 awarded NIMS Jaipur as “Best Private University in India”.,https://www.nimsuniversity.org/,https://g.page/MyNIMS?share,40,50,101,19,NO
120,Dr Vishwanath Karad MIT World Peace University,Maharashtra,Pune,"MIT World Peace University (MITWPU), Pune is one of the leading private engineering and management institutions in India which is ranked and recognized by several prestigious national ranking authorities. Recently, the institute has been ranked at the 16th position in the Times of India Rankings 2022 for its MBA program which is offered on the basis of the CAT/MAT/XAT/CMAT/PERACET/MHT-CET entrance scores.",https://mitwpu.edu.in/,https://goo.gl/maps/wKQeTk9u8s8mHZz67,45,45,116,20,NO
121,SRM Institute of Science and Technology,Tamil Nadu,Chennai,"SRM Institute of Science and Technology (SRM IST), formerly known as SRM University, is one of the top-ranking universities in India with over 20,000 students and more than 2600 faculty across all the campus. It offers a wide range of undergraduate, postgraduate and doctoral programs in Engineering, Management, Medicine, Health Sciences, Science and Humanities.",https://www.srmist.edu.in/,https://goo.gl/maps/z7BsZBg1coy96UdJ8,45,60,19,1,NO
122,Vellore Institute of Technology,Tamil Nadu,Vellore,"VIT admits bachelor students through its own engineering entrance exam, called the Vellore Institute of Technology Engineering Entrance Examination (VITEEE).It is conducted every year in the month of April and May. The exam has been conducted online since 2013 and in 2022, 212,000 students have registered. VITEEE 2022 was held on 30'th June - 6'th July 2022",https://vit.ac.in/,https://goo.gl/maps/hgQD3vdarwFDZP1eA,43,55,9,2,NO
123,Christ University, Karnataka,Bengaluru,"Christ University offers UG, PG, and Ph.D. programs through all five campuses. The university is quite popular for its B.Tech, and MBA programs. Every year more than 25000 students enroll in Christ University. Students aspiring to get admission into B.Tech should appear for the COMEDK exam. For those applying for Christ University MBA admission, appearing for the national-level management exams is a must. Christ University conducts the CUET entrance test for most of its UG and PG courses.",https://christuniversity.in/,https://goo.gl/maps/kN6GTxWdqatbPvYv7,48,40,71,3,NO
124, Lovely Professional University,Punjab,Phagwara,"LPU is a private university ranked 47th by NIRF in the Indian Universities ranking. LPU admission 2022 is currently ongoing. Admissions will be done through LPUNEST entrance exam. LPUNEST 2022 registrations are open till October 31, 2022. The exam is scheduled to be conducted from October 4 to 18, 2022. Also, LPU PhD registration is ongoing. As per the reports of LPU Placement 2021-22, a B.Tech student got placed at Google India with an INR 64.50 lakh package.",https://www.lpu.in/,https://g.page/LPUUniversity?share,56,55,47,4,NO
125,Savitribai Phule Pune University,Maharashtra,Pune,"Savitribai Phule Pune University (SPPU), also known as UniPune, is one of the premier universities in India. It is approved by the UGC and accredited by NAAC with an ‘A’ grade. The university is popularly known as the 'Oxford of the East'. UniPune has been ranked 12th among top universities in India by NIRF 2022. It has over 700 affiliated colleges, 46 academic departments, and 52 research centres.",http://www.unipune.ac.in/,https://goo.gl/maps/1X4ojbpJ4REeZVoM6,52,55,12,5,NO
